dataset,network,DenseNum,DropOut,FreezePercentage,BatchSize,epoch,accuracy,precision,sensitivity,specificity,f1_score,npv,mcc,auc,TP,TN,FP,FN,runtime,val_accuracy,val_precision,val_sensitivity,val_specificity,val_f1_score,val_npv,val_mcc,val_auc,val_TP,val_TN,val_FP,val_FN,val_runtime
100,MobileNetV2,128,0.3,0.3,64,12,0.9982913136482239,0.9980781674385071,0.9982913136482239,0.998099684715271,0.998207688331604,0.9983106851577759,0.9964153170585632,0.999983549118042,4674.0,4673.0,9.0,8.0,72.95870542526245,0.9835526347160339,0.982758641242981,0.984375,0.9827302694320679,0.9835715889930725,0.9843615293502808,0.967130184173584,0.9919247627258301,1197.0,1195.0,21.0,19.0,7.713367223739624
100,MobileNetV2,128,0.3,0.3,64,28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4718.0,4718.0,0.0,0.0,130.51099181175232,0.9868420958518982,0.9860312342643738,0.9868420958518982,0.9860197305679321,0.9864468574523926,0.9868159890174866,0.9728677868843079,0.9945687651634216,1200.0,1199.0,17.0,16.0,2.5682249069213867
100,MobileNetV2,128,0.3,0.3,64,22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999403953552,4720.0,4720.0,0.0,0.0,109.15336322784424,0.9893091917037964,0.9884963035583496,0.9893091917037964,0.9884868264198303,0.9889011383056641,0.9893091917037964,0.9778023958206177,0.9939925670623779,1203.0,1202.0,14.0,13.0,2.626316785812378
100,MobileNetV2,128,0.3,0.3,64,26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999403953552,4728.0,4728.0,0.0,0.0,129.29421138763428,0.9809027910232544,0.9800520539283752,0.9809027910232544,0.9800347089767456,0.980478823184967,0.9808890223503113,0.9609439373016357,0.9890523552894592,1130.0,1129.0,23.0,22.0,4.8928751945495605
100,MobileNetV2,128,0.3,0.3,64,27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999403953552,4742.0,4742.0,0.0,0.0,153.90177249908447,0.9869791865348816,0.9852558374404907,0.9861111044883728,0.9852430820465088,0.9856870174407959,0.9861106872558594,0.971373975276947,0.9924169182777405,1136.0,1135.0,17.0,16.0,4.9899749755859375
100,MobileNetV2,128,0.3,0.3,64,31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4758.0,4758.0,0.0,0.0,163.17967319488525,0.9835069179534912,0.9843342304229736,0.9817708134651184,0.984375,0.9829592108726501,0.982020914554596,0.9661728739738464,0.9914525747299194,1131.0,1134.0,18.0,21.0,2.670915126800537
100,MobileNetV2,128,0.3,0.3,64,5,0.9989325404167175,0.9989325404167175,0.9989325404167175,0.9989442825317383,0.9989442825317383,0.9989442825317383,0.9978885054588318,0.9999918341636658,4679.0,4679.0,5.0,5.0,44.9918429851532,0.9638158082962036,0.9638158082962036,0.9638158082962036,0.9638158082962036,0.9638155698776245,0.9638280272483826,0.9276438355445862,0.9794368147850037,1172.0,1172.0,44.0,44.0,2.6382408142089844
100,MobileNetV2,128,0.3,0.3,64,18,1.0,0.9997884631156921,1.0,0.9997888803482056,0.9998952746391296,1.0,0.9997904896736145,1.0,4726.0,4725.0,1.0,0.0,93.52150845527649,0.9826388955116272,0.9817866683006287,0.9826388955116272,0.9817708134651184,0.982208251953125,0.9826388955116272,0.9644163846969604,0.9899529218673706,1132.0,1131.0,21.0,20.0,2.408982753753662
100,MobileNetV2,128,0.3,0.3,64,24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4772.0,4772.0,0.0,0.0,121.95204901695251,0.9869791865348816,0.9852686524391174,0.9869791865348816,0.9852430820465088,0.9861447215080261,0.9869240522384644,0.9722347259521484,0.993472695350647,1137.0,1135.0,17.0,15.0,2.6436355113983154
100,MobileNetV2,128,0.3,0.3,64,5,0.9972894191741943,0.9974968433380127,0.99708092212677,0.9975000023841858,0.9972900152206421,0.9970961213111877,0.99459308385849,0.999752402305603,4782.0,4784.0,12.0,14.0,46.648741722106934,0.9806985259056091,0.9852262139320374,0.9806985259056091,0.9852941036224365,0.9829702973365784,0.9808230400085449,0.9660681486129761,0.9961654543876648,1067.0,1072.0,16.0,21.0,2.5134193897247314
100,MobileNetV2,128,0.3,0.3,64,21,0.9997891783714294,0.9997891783714294,0.9997891783714294,0.99979168176651,0.99979168176651,0.99979168176651,0.9995833039283752,0.9999999403953552,4743.0,4743.0,1.0,1.0,131.6751959323883,0.984375,0.9843478202819824,0.9826388955116272,0.984375,0.9834864139556885,0.982692301273346,0.9670268297195435,0.9909685850143433,1132.0,1134.0,18.0,20.0,4.8404221534729
100,MobileNetV2,128,0.3,0.3,64,3,0.9985477328300476,0.997718334197998,0.9979252815246582,0.9977384805679321,0.9978436827659607,0.9979503154754639,0.9956936836242676,0.999978244304657,4810.0,4809.0,11.0,10.0,48.04885721206665,0.935661792755127,0.9324200749397278,0.9384191036224365,0.9319853186607361,0.9354752898216248,0.9379189014434814,0.8704559206962585,0.9681409597396851,1021.0,1014.0,74.0,67.0,4.83975625038147
100,MobileNetV2,128,0.3,0.3,64,31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4704.0,4704.0,0.0,0.0,175.28450846672058,0.9917762875556946,0.991769552230835,0.9909539222717285,0.9917762875556946,0.9913682341575623,0.9909662008285522,0.9827490448951721,0.9969006180763245,1205.0,1206.0,10.0,11.0,4.773707151412964
