epoch,FN,FP,TN,TP,accuracy,auc,f1_score,loss,lr,mcc,npv,precision,recall,specificity,val_FN,val_FP,val_TN,val_TP,val_accuracy,val_auc,val_f1_score,val_loss,val_mcc,val_npv,val_precision,val_recall,val_specificity
0,597.0,593.0,4207.0,4203.0,0.8797916769981384,0.9502416849136353,0.8760491013526917,0.29266148805618286,0.01,0.7524425983428955,0.8759021759033203,0.8763552904129028,0.8756250143051147,0.8764583468437195,391.0,436.0,716.0,761.0,0.6432291865348816,0.6810721158981323,0.6477716565132141,0.895850419998169,0.2824869155883789,0.6471289992332458,0.6357560753822327,0.6605902910232544,0.6215277910232544
1,416.0,400.0,4362.0,4346.0,0.9153717160224915,0.9723924994468689,0.9148637056350708,0.213349387049675,0.01,0.830256462097168,0.9138327240943909,0.9157184958457947,0.9126417636871338,0.9166666865348816,433.0,456.0,696.0,719.0,0.6145833134651184,0.7172558307647705,0.6180086135864258,1.087553858757019,0.2283572554588318,0.6163461804389954,0.611914873123169,0.6241319179534912,0.6041666865348816
2,381.0,372.0,4390.0,4381.0,0.9225115776062012,0.9774143099784851,0.9207409620285034,0.19212166965007782,0.01,0.8417174220085144,0.9199336767196655,0.9217336177825928,0.9199916124343872,0.9218910932540894,390.0,431.0,721.0,762.0,0.6519097089767456,0.730877161026001,0.6498897075653076,0.8921784162521362,0.287586510181427,0.648937463760376,0.6387258768081665,0.6614583134651184,0.6258680820465088
3,333.0,329.0,4433.0,4429.0,0.931541383266449,0.9818906784057617,0.9306996464729309,0.1717243790626526,0.01,0.8615849018096924,0.9304946064949036,0.9308533072471619,0.9300714135169983,0.9311538934707642,438.0,508.0,644.0,714.0,0.6006944179534912,0.6095739603042603,0.6015048623085022,1.0085294246673584,0.17933246493339539,0.595025897026062,0.5842880606651306,0.6197916865348816,0.5590277910232544
4,311.0,319.0,4443.0,4451.0,0.9353212714195251,0.9836685657501221,0.9337940216064453,0.162291020154953,0.01,0.8676737546920776,0.9346736669540405,0.9331237077713013,0.934691309928894,0.9329327344894409,299.0,297.0,855.0,853.0,0.7421875,0.8346580266952515,0.7408357858657837,0.6547577381134033,0.48276594281196594,0.741488516330719,0.7417391538619995,0.7404513955116272,0.7421875
5,285.0,271.0,4491.0,4477.0,0.9430911540985107,0.9857434630393982,0.9415255784988403,0.15162625908851624,0.01,0.8833590745925903,0.9403149485588074,0.9429233074188232,0.9401512145996094,0.9432371854782104,261.0,273.0,879.0,891.0,0.7682291865348816,0.8608446717262268,0.7691600322723389,0.6983063220977783,0.5365592837333679,0.77164226770401,0.7654638886451721,0.7734375,0.7630208134651184
6,290.0,292.0,4470.0,4472.0,0.938471257686615,0.9872412085533142,0.9391948580741882,0.1448400467634201,0.01,0.8785769939422607,0.9394540190696716,0.9387069940567017,0.9391012191772461,0.9391666650772095,354.0,337.0,815.0,798.0,0.6996527910232544,0.7980930805206299,0.698060154914856,1.1146897077560425,0.4002820551395416,0.6967811584472656,0.7030836939811707,0.6927083134651184,0.7074652910232544
7,249.0,236.0,4526.0,4513.0,0.9493910074234009,0.9903272986412048,0.94924396276474,0.126151904463768,0.01,0.8987157940864563,0.9483494162559509,0.9503053426742554,0.9477110505104065,0.9505288600921631,241.0,251.0,901.0,911.0,0.7890625,0.8812646865844727,0.7874259352684021,0.685112714767456,0.5730020999908447,0.7889194488525391,0.783993124961853,0.7907986044883728,0.7821180820465088
8,232.0,240.0,4522.0,4530.0,0.9506509900093079,0.9898200035095215,0.9505465626716614,0.12857423722743988,0.01,0.9011625051498413,0.9514257907867432,0.9496855139732361,0.951280951499939,0.9496955275535583,309.0,283.0,869.0,843.0,0.7482638955116272,0.8464840650558472,0.7399446964263916,0.7479536533355713,0.486285537481308,0.7380557656288147,0.74866783618927,0.7317708134651184,0.7543402910232544
9,245.0,238.0,4524.0,4517.0,0.9475010633468628,0.9906485080718994,0.948695182800293,0.12412276864051819,0.01,0.897628903388977,0.9482758641242981,0.9499474167823792,0.9485510587692261,0.9495031833648682,332.0,319.0,833.0,820.0,0.71875,0.8105815052986145,0.7160012125968933,1.1318234205245972,0.4349902868270874,0.7147386074066162,0.7199297547340393,0.7118055820465088,0.7230902910232544
10,222.0,213.0,4549.0,4540.0,0.9538009166717529,0.9922823905944824,0.9540402293205261,0.11239755898714066,0.01,0.9082106351852417,0.953267514705658,0.9551861882209778,0.9533809423446655,0.9550160765647888,221.0,220.0,932.0,931.0,0.8072916865348816,0.9031327962875366,0.8085957169532776,0.5917574167251587,0.6172564625740051,0.8082077503204346,0.8088618516921997,0.8081597089767456,0.8090277910232544
11,226.0,213.0,4549.0,4536.0,0.9546409249305725,0.9909404516220093,0.9538870453834534,0.11967521160840988,0.01,0.9080049395561218,0.9528383612632751,0.955148458480835,0.952540934085846,0.9553205370903015,173.0,185.0,967.0,979.0,0.8411458134651184,0.9323441386222839,0.845344603061676,0.4177803099155426,0.6893476843833923,0.8484626412391663,0.8410652875900269,0.8498263955116272,0.8394097089767456
12,231.0,232.0,4530.0,4531.0,0.9523309469223022,0.9919760823249817,0.9514529705047607,0.11442594975233078,0.01,0.90301114320755,0.9516704082489014,0.9512912034988403,0.9514909982681274,0.9513621926307678,206.0,211.0,941.0,946.0,0.8203125,0.9085832834243774,0.8194218277931213,0.5868461728096008,0.6380590796470642,0.8203849792480469,0.8176317811012268,0.8211805820465088,0.8168402910232544
13,170.0,156.0,4606.0,4592.0,0.9653506875038147,0.9955670237541199,0.9659638404846191,0.08469054102897644,0.01,0.9321365356445312,0.9647883176803589,0.9671440720558167,0.9643006920814514,0.9674999713897705,143.0,144.0,1008.0,1009.0,0.8741319179534912,0.9552632570266724,0.8755481243133545,0.3552129566669464,0.7509109973907471,0.8756736516952515,0.8751084208488464,0.8758680820465088,0.875
14,226.0,227.0,4535.0,4536.0,0.9529609680175781,0.9920971989631653,0.9519126415252686,0.11264470964670181,0.01,0.9038578271865845,0.9520325660705566,0.9523409605026245,0.952540934085846,0.9517948627471924,123.0,118.0,1034.0,1029.0,0.8949652910232544,0.9655871987342834,0.895176351070404,0.28339844942092896,0.7908364534378052,0.893707275390625,0.8971229195594788,0.8932291865348816,0.8975694179534912
