dataset,network,DenseNum,DropOut,FreezePercentage,BatchSize,epoch,accuracy,precision,sensitivity,specificity,f1_score,npv,mcc,auc,TP,TN,FP,FN,runtime,val_accuracy,val_precision,val_sensitivity,val_specificity,val_f1_score,val_npv,val_mcc,val_auc,val_TP,val_TN,val_FP,val_FN,val_runtime
65,MobileNetV2,128,0.3,0.3,16,12,0.9978858232498169,0.9978858232498169,0.9978858232498169,0.9978885054588318,0.9978885054588318,0.9978885054588318,0.9957770109176636,0.9999646544456482,4720.0,4720.0,10.0,10.0,112.98887515068054,0.9879807829856873,0.9887730479240417,0.9879807829856873,0.9887820482254028,0.9883685111999512,0.9880279302597046,0.9767863154411316,0.9983887672424316,1233.0,1234.0,14.0,15.0,3.3958911895751953
65,MobileNetV2,128,0.3,0.3,16,12,0.9978858232498169,0.9978858232498169,0.9978858232498169,0.9978885054588318,0.9978885054588318,0.9978885054588318,0.9957770109176636,0.9999646544456482,4720.0,4720.0,10.0,10.0,112.98887515068054,0.9879807829856873,0.9887730479240417,0.9879807829856873,0.9887820482254028,0.9883685111999512,0.9880279302597046,0.9767863154411316,0.9983887672424316,1233.0,1234.0,14.0,15.0,3.3958911895751953
dataset,network,DenseNum,DropOut,FreezePercentage,BatchSize,epoch,accuracy,precision,sensitivity,specificity,f1_score,npv,mcc,auc,TP,TN,FP,FN,runtime,val_accuracy,val_precision,val_sensitivity,val_specificity,val_f1_score,val_npv,val_mcc,val_auc,val_TP,val_TN,val_FP,val_FN,val_runtime
65,MobileNetV2,128,0.3,0.3,16,13,0.9985312819480896,0.9983217716217041,0.9985312819480896,0.9983221292495728,0.9984301924705505,0.9985318779945374,0.996860146522522,0.9999905824661255,4759.0,4758.0,8.0,7.0,119.61465263366699,0.984375,0.983566164970398,0.984375,0.9835526347160339,0.9839762449264526,0.984375,0.9679518342018127,0.9948707222938538,1197.0,1196.0,20.0,19.0,2.9151835441589355
65,MobileNetV2,128,0.3,0.3,16,13,0.9985312819480896,0.9983217716217041,0.9985312819480896,0.9983221292495728,0.9984301924705505,0.9985318779945374,0.996860146522522,0.9999905824661255,4759.0,4758.0,8.0,7.0,119.61465263366699,0.984375,0.983566164970398,0.984375,0.9835526347160339,0.9839762449264526,0.984375,0.9679518342018127,0.9948707222938538,1197.0,1196.0,20.0,19.0,2.9151835441589355
dataset,network,DenseNum,DropOut,FreezePercentage,BatchSize,epoch,accuracy,precision,sensitivity,specificity,f1_score,npv,mcc,auc,TP,TN,FP,FN,runtime,val_accuracy,val_precision,val_sensitivity,val_specificity,val_f1_score,val_npv,val_mcc,val_auc,val_TP,val_TN,val_FP,val_FN,val_runtime
65,MobileNetV2,128,0.3,0.3,16,14,0.9983277320861816,0.9983277320861816,0.9983277320861816,0.9983277320861816,0.9983277320861816,0.9983277320861816,0.9966555237770081,0.9997384548187256,4776.0,4776.0,8.0,8.0,117.01409935951233,0.9851973652839661,0.9851852059364319,0.984375,0.9851973652839661,0.9847729206085205,0.9844233989715576,0.9695964455604553,0.9964064955711365,1197.0,1198.0,18.0,19.0,2.895132541656494
65,MobileNetV2,128,0.3,0.3,16,14,0.9983277320861816,0.9983277320861816,0.9983277320861816,0.9983277320861816,0.9983277320861816,0.9983277320861816,0.9966555237770081,0.9997384548187256,4776.0,4776.0,8.0,8.0,117.01409935951233,0.9851973652839661,0.9851852059364319,0.984375,0.9851973652839661,0.9847729206085205,0.9844233989715576,0.9695964455604553,0.9964064955711365,1197.0,1198.0,18.0,19.0,2.895132541656494
dataset,network,DenseNum,DropOut,FreezePercentage,BatchSize,epoch,accuracy,precision,sensitivity,specificity,f1_score,npv,mcc,auc,TP,TN,FP,FN,runtime,val_accuracy,val_precision,val_sensitivity,val_specificity,val_f1_score,val_npv,val_mcc,val_auc,val_TP,val_TN,val_FP,val_FN,val_runtime
65,MobileNetV2,128,0.3,0.3,16,7,0.9918341636657715,0.9910041689872742,0.9918341636657715,0.9910116791725159,0.9914487600326538,0.9918339252471924,0.9828832149505615,0.9988157749176025,4737.0,4733.0,43.0,39.0,83.42388224601746,0.98416668176651,0.9849874973297119,0.98416668176651,0.9850000143051147,0.9845699071884155,0.9842156767845154,0.9691911935806274,0.9901701211929321,1181.0,1182.0,18.0,19.0,2.925534248352051
65,MobileNetV2,128,0.3,0.3,16,7,0.9918341636657715,0.9910041689872742,0.9918341636657715,0.9910116791725159,0.9914487600326538,0.9918339252471924,0.9828832149505615,0.9988157749176025,4737.0,4733.0,43.0,39.0,83.42388224601746,0.98416668176651,0.9849874973297119,0.98416668176651,0.9850000143051147,0.9845699071884155,0.9842156767845154,0.9691911935806274,0.9901701211929321,1181.0,1182.0,18.0,19.0,2.925534248352051
dataset,network,DenseNum,DropOut,FreezePercentage,BatchSize,epoch,accuracy,precision,sensitivity,specificity,f1_score,npv,mcc,auc,TP,TN,FP,FN,runtime,val_accuracy,val_precision,val_sensitivity,val_specificity,val_f1_score,val_npv,val_mcc,val_auc,val_TP,val_TN,val_FP,val_FN,val_runtime
65,MobileNetV2,128,0.3,0.3,16,8,0.9924843311309814,0.9920734167098999,0.9929018616676331,0.9920833110809326,0.9925126433372498,0.9929166436195374,0.9850243926048279,0.9991965889930725,4756.0,4752.0,38.0,34.0,88.99754691123962,0.9814189076423645,0.9814189076423645,0.9814189076423645,0.9814189076423645,0.9814189076423645,0.9814189076423645,0.962837815284729,0.989962637424469,1162.0,1162.0,22.0,22.0,2.8895978927612305
