dataset,network,DenseNum,DropOut,FreezePercentage,BatchSize,epoch,accuracy,precision,sensitivity,specificity,f1_score,npv,mcc,auc,TP,TN,FP,FN,runtime,val_accuracy,val_precision,val_sensitivity,val_specificity,val_f1_score,val_npv,val_mcc,val_auc,val_TP,val_TN,val_FP,val_FN,val_runtime
15,DenseNet201,128,0.3,0.3,64,3,0.9162750840187073,0.9151709675788879,0.9147800207138062,0.9150338172912598,0.9141214489936829,0.9138795137405396,0.8286808133125305,0.976575493812561,4283.0,4285.0,397.0,399.0,142.40298628807068,0.9292762875556946,0.9312344789505005,0.9243420958518982,0.9317434430122375,0.9276813864707947,0.9251313209533691,0.8561633229255676,0.9809750318527222,1124.0,1133.0,83.0,92.0,16.656381368637085
15,DenseNet201,128,0.3,0.3,64,12,0.9514625072479248,0.9503065943717957,0.9525222778320312,0.9502148032188416,0.9514341354370117,0.9524927735328674,0.9028273820877075,0.9907153844833374,4494.0,4483.0,235.0,224.0,279.36650466918945,0.9251644611358643,0.923393726348877,0.921875,0.9235197305679321,0.9227147102355957,0.9218804240226746,0.8454388976097107,0.9792159199714661,1121.0,1123.0,93.0,95.0,20.679436922073364
15,DenseNet201,128,0.3,0.3,64,6,0.934110164642334,0.935429036617279,0.9330508708953857,0.9355292320251465,0.9341881275177002,0.9332185983657837,0.868606448173523,0.9846733212471008,4404.0,4416.0,304.0,316.0,191.27315950393677,0.9333881735801697,0.9326764941215515,0.9342105388641357,0.9325658082962036,0.933426022529602,0.9341575503349304,0.8667995929718018,0.9821006059646606,1136.0,1134.0,82.0,80.0,21.059521436691284
15,DenseNet201,128,0.3,0.3,64,10,0.9357022047042847,0.936296284198761,0.9357022047042847,0.9363839626312256,0.9360467195510864,0.9358727931976318,0.8722218871116638,0.98622065782547,4424.0,4427.0,301.0,304.0,249.30176663398743,0.9340277910232544,0.9340277910232544,0.9340277910232544,0.9340277910232544,0.93400639295578,0.9340915679931641,0.8680786490440369,0.9763801693916321,1076.0,1076.0,76.0,76.0,18.972506761550903
15,DenseNet201,128,0.3,0.3,64,17,0.9458034634590149,0.9457576870918274,0.9449599385261536,0.9464583396911621,0.9460100531578064,0.9457551836967468,0.8921554684638977,0.9890822172164917,4481.0,4485.0,257.0,261.0,354.32079458236694,0.9340277910232544,0.9324089884757996,0.9340277910232544,0.9322916865348816,0.9333006739616394,0.9337647557258606,0.8663410544395447,0.9752324819564819,1076.0,1074.0,78.0,76.0,19.760270833969116
15,DenseNet201,128,0.3,0.3,64,11,0.9489281177520752,0.947888195514679,0.9480874538421631,0.9483333230018616,0.9484598636627197,0.9485742449760437,0.896957278251648,0.9887827038764954,4511.0,4510.0,248.0,247.0,264.88910150527954,0.9201388955116272,0.917677640914917,0.9192708134651184,0.9175347089767456,0.9185641407966614,0.9189673662185669,0.8368273973464966,0.9771977663040161,1059.0,1057.0,95.0,93.0,19.34656834602356
15,DenseNet201,128,0.3,0.3,64,13,0.9479077458381653,0.9471215605735779,0.9483347535133362,0.9476351141929626,0.9483066201210022,0.9488760232925415,0.8965901732444763,0.9902470111846924,4442.0,4436.0,248.0,242.0,297.2423679828644,0.9350329041481018,0.9350329041481018,0.9350329041481018,0.9350329041481018,0.9350385069847107,0.9350427389144897,0.8700884580612183,0.982608437538147,1137.0,1137.0,79.0,79.0,19.644052982330322
15,DenseNet201,128,0.3,0.3,64,8,0.9388489127159119,0.9395674467086792,0.937579333782196,0.9397053122520447,0.9385823607444763,0.9377967119216919,0.8773738741874695,0.9858620762825012,4431.0,4441.0,285.0,295.0,220.29270005226135,0.9149305820465088,0.9179755449295044,0.9131944179534912,0.9184027910232544,0.9154612421989441,0.9139058589935303,0.8316453099250793,0.9711744785308838,1052.0,1058.0,94.0,100.0,20.528944730758667
15,DenseNet201,128,0.3,0.3,64,12,0.9438390731811523,0.9412133693695068,0.9427912831306458,0.9412962794303894,0.9422225952148438,0.9431794285774231,0.8845046758651733,0.9871253371238708,4499.0,4491.0,281.0,273.0,280.8925838470459,0.9236111044883728,0.9219427704811096,0.9227430820465088,0.921875,0.9223661422729492,0.9226328730583191,0.8446230292320251,0.9777041673660278,1063.0,1062.0,90.0,89.0,21.041640281677246
15,DenseNet201,128,0.3,0.3,64,14,0.9578815698623657,0.9577935934066772,0.955796480178833,0.9578611254692078,0.9567283391952515,0.9560642242431641,0.9137362837791443,0.9930501580238342,4584.0,4594.0,202.0,212.0,308.19207310676575,0.9273896813392639,0.9256880879402161,0.9273896813392639,0.9255514740943909,0.9265384674072266,0.9273024797439575,0.8529973030090332,0.9759833216667175,1009.0,1007.0,81.0,79.0,20.85809564590454
15,DenseNet201,128,0.3,0.3,64,8,0.9397132992744446,0.9384356141090393,0.9382377862930298,0.93770831823349,0.9375948309898376,0.9375936985015869,0.8752907514572144,0.9850192070007324,4451.0,4452.0,292.0,293.0,222.1064260005951,0.9435763955116272,0.9435763955116272,0.9435763955116272,0.9435763955116272,0.9435882568359375,0.9435837864875793,0.8871873021125793,0.9854291081428528,1087.0,1087.0,65.0,65.0,20.96705937385559
15,DenseNet201,128,0.3,0.3,64,13,0.9541493654251099,0.9535558819770813,0.9541493654251099,0.9534950256347656,0.9538137316703796,0.9541437029838562,0.9076629281044006,0.9914876818656921,4599.0,4596.0,224.0,221.0,296.3408315181732,0.9273896813392639,0.9247706532478333,0.9264705777168274,0.9246323704719543,0.9257826805114746,0.9260756969451904,0.8511807918548584,0.979419469833374,1008.0,1006.0,82.0,80.0,20.11290979385376
