dataset,network,partition,accuracy,precision,sensitivity,specificity,f1_score,npv,mcc,auc,TP,TN,FP,FN,runtime,val_accuracy,val_precision,val_sensitivity,val_specificity,val_f1_score,val_npv,val_mcc,val_auc,val_TP,val_TN,val_FP,val_FN,val_runtime
Dataset01_10.0,RandomForestf,32,1.0,1.0,1.0,0.9666666666666667,1.0,0.8055555533179012,0.7484551991837007,0.9483333333333334,23,29,1,7,12.784800052642822,0.8666666666666667,0.9583333333333334,0.7666666666666667,0.9666666666666667,0.8518518518518519,0.8055555533179012,0.7484551991837007,0.9483333333333334,23,29,1,7,0.006022930145263672
Dataset01_10.0,RandomForestf,33,0.9890609222484013,0.9959044368600682,0.9821608885897004,0.8666666666666667,0.9889849178105405,0.8124999974609375,0.6681531047810195,0.8588888888888888,24,26,4,6,11.87227725982666,0.8333333333333334,0.8571428571428571,0.8,0.8666666666666667,0.8275862068965517,0.8124999974609375,0.6681531047810195,0.8588888888888888,24,26,4,6,0.0010242462158203125
Dataset01_10.0,RandomForestf,34,1.0,1.0,1.0,0.9666666666666667,1.0,0.9999999965517241,0.9672041516492919,0.9966666666666667,30,29,1,0,12.745538473129272,0.9833333333333333,0.967741935483871,1.0,0.9666666666666667,0.9836065573770492,0.9999999965517241,0.9672041516492919,0.9966666666666667,30,29,1,0,0.006221771240234375
Dataset01_10.0,RandomForestf,35,1.0,1.0,1.0,0.9,1.0,0.8437499973632813,0.7349684152591215,0.9116666666666667,25,27,3,5,12.735473871231079,0.8666666666666667,0.8928571428571429,0.8333333333333334,0.9,0.8620689655172413,0.8437499973632813,0.7349684152591215,0.9116666666666667,25,27,3,5,0.006598711013793945
Dataset01_10.0,RandomForestf,36,1.0,1.0,1.0,0.8666666666666667,1.0,0.9285714252551021,0.8017837257372235,0.9522222222222223,28,26,4,2,12.766996145248413,0.9,0.875,0.9333333333333333,0.8666666666666667,0.9032258064516129,0.9285714252551021,0.8017837257372235,0.9522222222222223,28,26,4,2,0.006166934967041016
Dataset01_10.0,RandomForestf,37,1.0,1.0,1.0,0.9,1.0,0.9999999962962962,0.9045340337332345,0.9855555555555555,30,27,3,0,12.893392086029053,0.95,0.9090909090909091,1.0,0.9,0.9523809523809523,0.9999999962962962,0.9045340337332345,0.9855555555555555,30,27,3,0,0.006011962890625
Dataset01_10.0,RandomForestf,38,1.0,1.0,1.0,0.9333333333333333,1.0,0.8484848459136822,0.7705289916986813,0.9505555555555556,25,28,2,5,12.750563383102417,0.8833333333333333,0.9259259259259259,0.8333333333333334,0.9333333333333333,0.8771929824561403,0.8484848459136822,0.7705289916986813,0.9505555555555556,25,28,2,5,0.006265163421630859
Dataset01_10.0,RandomForestf,39,0.9900706832716257,0.9989718985606579,0.9811511275664759,0.9666666666666667,0.9899813211071489,0.8055555533179012,0.7484551991837007,0.931111111111111,23,29,1,7,11.727330684661865,0.8666666666666667,0.9583333333333334,0.7666666666666667,0.9666666666666667,0.8518518518518519,0.8055555533179012,0.7484551991837007,0.931111111111111,23,29,1,7,0.001046895980834961
Dataset01_10.0,RandomForestf,40,0.9882194547290475,0.9979402677651905,0.9784584315045439,0.7666666666666667,0.9881033310673012,0.8518518486968449,0.636523949664128,0.8783333333333334,26,23,7,4,11.76775312423706,0.8166666666666667,0.7878787878787878,0.8666666666666667,0.7666666666666667,0.8253968253968254,0.8518518486968449,0.636523949664128,0.8783333333333334,26,23,7,4,0.0010058879852294922
Dataset01_10.0,RandomForestf,41,1.0,1.0,1.0,0.9,1.0,0.8181818157024793,0.7035264706814046,0.9283333333333335,24,27,3,6,22.00701332092285,0.85,0.8888888888888888,0.8,0.9,0.8421052631578947,0.8181818157024793,0.7035264706814046,0.9283333333333335,24,27,3,6,0.05949878692626953
Dataset01_10.0,RandomForestf,42,0.9893975092561427,0.9962457337883959,0.9824974755974419,0.9,0.9893238434163701,0.8181818157024793,0.7035264706814046,0.9294444444444445,24,27,3,6,11.73168420791626,0.85,0.8888888888888888,0.8,0.9,0.8421052631578947,0.8181818157024793,0.7035264706814046,0.9294444444444445,24,27,3,6,0.0010876655578613281
Dataset01_10.0,RandomForestf,43,0.9888926287445304,0.9962418858899897,0.9814877145742175,1.0,0.9888097660223805,0.9374999970703125,0.9354143466934274,0.9888888888888889,28,30,0,2,11.87289810180664,0.9666666666666667,1.0,0.9333333333333333,1.0,0.9655172413793104,0.9374999970703125,0.9354143466934274,0.9888888888888889,28,30,0,2,0.0010218620300292969
Dataset01_10.0,RandomForestf,44,0.9883877482329182,0.995221843003413,0.9814877145742175,0.9,0.9883070665988816,0.8181818157024793,0.7035264706814046,0.9372222222222222,24,27,3,6,11.792110919952393,0.85,0.8888888888888888,0.8,0.9,0.8421052631578947,0.8181818157024793,0.7035264706814046,0.9372222222222222,24,27,3,6,0.0011937618255615234
Dataset01_10.0,RandomForestf,45,0.9875462807135644,0.9965718203633871,0.9784584315045439,0.9666666666666667,0.9874320652173914,0.935483867950052,0.9005004170527889,0.9616666666666667,28,29,1,2,11.73636245727539,0.95,0.9655172413793104,0.9333333333333333,0.9666666666666667,0.9491525423728814,0.935483867950052,0.9005004170527889,0.9616666666666667,28,29,1,2,0.0010492801666259766
Dataset01_10.0,RandomForestf,46,1.0,1.0,1.0,0.9333333333333333,1.0,0.8484848459136822,0.7705289916986813,0.9627777777777777,25,28,2,5,12.91118836402893,0.8833333333333333,0.9259259259259259,0.8333333333333334,0.9333333333333333,0.8771929824561403,0.8484848459136822,0.7705289916986813,0.9627777777777777,25,28,2,5,0.006249427795410156
Dataset01_10.0,RandomForestf,47,1.0,1.0,1.0,0.9666666666666667,1.0,0.8529411739619377,0.8072073527955242,0.9411111111111111,25,29,1,5,12.954676628112793,0.9,0.9615384615384616,0.8333333333333334,0.9666666666666667,0.8928571428571429,0.8529411739619377,0.8072073527955242,0.9411111111111111,25,29,1,5,0.00620269775390625
Dataset01_10.0,RandomForestf,48,1.0,1.0,1.0,0.8333333333333334,1.0,0.9259259224965706,0.7705289916986813,0.9483333333333334,28,25,5,2,12.865053653717041,0.8833333333333333,0.8484848484848485,0.9333333333333333,0.8333333333333334,0.8888888888888888,0.9259259224965706,0.7705289916986813,0.9483333333333334,28,25,5,2,0.006910085678100586
