epoch,FN,FP,TN,TP,accuracy,auc,f1_score,loss,lr,mcc,npv,precision,recall,specificity,val_FN,val_FP,val_TN,val_TP,val_accuracy,val_auc,val_f1_score,val_loss,val_mcc,val_npv,val_precision,val_recall,val_specificity
0,910.0,961.0,3839.0,3890.0,0.809583306312561,0.8861179947853088,0.8063107132911682,0.4380665719509125,0.01,0.6105432510375977,0.8082135915756226,0.8018965125083923,0.8104166388511658,0.799791693687439,576.0,576.0,576.0,576.0,0.5,0.5177951455116272,0.4999999403953552,3.866041898727417,0.0,0.5,0.5,0.5,0.5
1,712.0,694.0,4106.0,4088.0,0.8539583086967468,0.9322909116744995,0.8532333970069885,0.33079156279563904,0.01,0.7072705030441284,0.8524211645126343,0.854872465133667,0.8516666889190674,0.8554166555404663,518.0,505.0,647.0,634.0,0.5538194179534912,0.72337406873703,0.5537156462669373,1.1184744834899902,0.11202086508274078,0.5548699498176575,0.5566286444664001,0.5503472089767456,0.5616319179534912
2,702.0,706.0,4094.0,4098.0,0.8558333516120911,0.9358438849449158,0.8533053994178772,0.3221999406814575,0.01,0.7068737745285034,0.8539667725563049,0.8530391454696655,0.8537499904632568,0.8529166579246521,337.0,343.0,809.0,815.0,0.7065972089767456,0.8100442886352539,0.705557107925415,0.8918906450271606,0.4097663164138794,0.7060860395431519,0.7037996649742126,0.7074652910232544,0.7022569179534912
3,670.0,657.0,4143.0,4130.0,0.8652083277702332,0.9401916265487671,0.8616155982017517,0.31143128871917725,0.01,0.7237136960029602,0.8608628511428833,0.8627532720565796,0.8604166507720947,0.8631250262260437,363.0,356.0,796.0,789.0,0.6883680820465088,0.799719512462616,0.6869171857833862,0.7028012275695801,0.3758906126022339,0.6869323253631592,0.6890829801559448,0.6848958134651184,0.6909722089767456
4,662.0,646.0,4154.0,4138.0,0.862500011920929,0.9424868822097778,0.8635237812995911,0.30559584498405457,0.01,0.7276605367660522,0.8626592755317688,0.8649665713310242,0.8620833158493042,0.8654166460037231,376.0,366.0,786.0,776.0,0.6788194179534912,0.8099440336227417,0.6765470504760742,0.6504634022712708,0.35595640540122986,0.676430344581604,0.6795096397399902,0.6736111044883728,0.6822916865348816
5,613.0,625.0,4175.0,4187.0,0.8708333373069763,0.9466909170150757,0.8712371587753296,0.2954089939594269,0.01,0.7422665357589722,0.8720508813858032,0.8701163530349731,0.8722916841506958,0.8697916865348816,377.0,368.0,784.0,775.0,0.6762152910232544,0.7929690480232239,0.6755675673484802,0.7158342599868774,0.3533472716808319,0.674913227558136,0.6780402660369873,0.6727430820465088,0.6805555820465088
6,598.0,584.0,4216.0,4202.0,0.8766666650772095,0.9504812359809875,0.876685380935669,0.28367623686790466,0.0009999999,0.7538613080978394,0.875884473323822,0.8779774308204651,0.8754166960716248,0.878333330154419,151.0,147.0,1005.0,1001.0,0.8689236044883728,0.9396335482597351,0.870460569858551,0.3166586458683014,0.7413508296012878,0.8693479895591736,0.8719512224197388,0.8689236044883728,0.8723958134651184
7,582.0,586.0,4214.0,4218.0,0.878333330154419,0.9544965028762817,0.8783491253852844,0.27366605401039124,0.0009999999,0.7568010687828064,0.8788355588912964,0.878018319606781,0.8787500262260437,0.877916693687439,148.0,145.0,1007.0,1004.0,0.8723958134651184,0.9400175213813782,0.8726413249969482,0.31455954909324646,0.745685875415802,0.8719267249107361,0.8738033175468445,0.8715277910232544,0.8741319179534912
8,567.0,582.0,4218.0,4233.0,0.8802083134651184,0.954387366771698,0.8805025219917297,0.27262797951698303,0.0009999999,0.7607395052909851,0.881592333316803,0.8791277408599854,0.8818749785423279,0.8787500262260437,174.0,179.0,973.0,978.0,0.8446180820465088,0.9379404783248901,0.8471645712852478,0.3133441209793091,0.6936373710632324,0.8482551574707031,0.8452895283699036,0.8489583134651184,0.8446180820465088
9,565.0,581.0,4219.0,4235.0,0.8822916746139526,0.956329882144928,0.8808173537254333,0.2679939866065979,0.0009999999,0.7613688111305237,0.8820058107376099,0.8793604373931885,0.8822916746139526,0.8789583444595337,138.0,141.0,1011.0,1014.0,0.8784722089767456,0.9469751715660095,0.8791472315788269,0.2955104112625122,0.7578744888305664,0.8797762989997864,0.8779220581054688,0.8802083134651184,0.8776041865348816
10,555.0,537.0,4263.0,4245.0,0.8870833516120911,0.9582224488258362,0.8859703540802002,0.26141297817230225,0.0009999999,0.7726057767868042,0.8850205540657043,0.8877038955688477,0.8843749761581421,0.8881250023841858,159.0,166.0,986.0,993.0,0.8576388955116272,0.9444501996040344,0.8593788146972656,0.2982998490333557,0.7179445624351501,0.8611547946929932,0.8567730784416199,0.8619791865348816,0.8559027910232544
11,545.0,537.0,4263.0,4255.0,0.8891666531562805,0.9602282643318176,0.8871897459030151,0.2550140917301178,0.0009999999,0.7747030854225159,0.8867639899253845,0.8879382014274597,0.8864583373069763,0.8881250023841858,159.0,170.0,982.0,993.0,0.8550347089767456,0.9450168013572693,0.8578121662139893,0.2967728078365326,0.7144854664802551,0.8608293533325195,0.8538262844085693,0.8619791865348816,0.8524305820465088
