epoch,FN,FP,TN,TP,accuracy,auc,f1_score,loss,lr,mcc,npv,precision,recall,specificity,val_FN,val_FP,val_TN,val_TP,val_accuracy,val_auc,val_f1_score,val_loss,val_mcc,val_npv,val_precision,val_recall,val_specificity
0,366.0,366.0,4370.0,4370.0,0.9298986196517944,0.9773704409599304,0.9227154850959778,0.19341780245304108,0.01,0.845702588558197,0.9229512810707092,0.9227195978164673,0.9227195978164673,0.9227195978164673,174.0,135.0,1081.0,1042.0,0.8807565569877625,0.9518851041793823,0.8707473874092102,0.2966984808444977,0.7468970417976379,0.861993670463562,0.8853015899658203,0.8569079041481018,0.8889802694320679
1,152.0,150.0,4562.0,4560.0,0.9681664109230042,0.9940676093101501,0.9679580926895142,0.08809322118759155,0.01,0.9360861778259277,0.9679436683654785,0.9681528806686401,0.9677419066429138,0.9682009816169739,271.0,236.0,980.0,945.0,0.7902960777282715,0.8770485520362854,0.7886221408843994,0.758344829082489,0.5835109353065491,0.7832357287406921,0.8001693487167358,0.7771381735801697,0.8059210777282715
2,115.0,112.0,4600.0,4597.0,0.9762309193611145,0.9963251948356628,0.9755871891975403,0.06910969316959381,0.01,0.95122891664505,0.9752639532089233,0.9762157797813416,0.9755942225456238,0.9759713411331177,302.0,305.0,911.0,914.0,0.7508223652839661,0.8273770213127136,0.7507085204124451,1.0431036949157715,0.5008744597434998,0.7510741353034973,0.7497949004173279,0.7516447305679321,0.7491776347160339
3,68.0,63.0,4649.0,4644.0,0.9872665405273438,0.9991002678871155,0.986153781414032,0.039368875324726105,0.01,0.9723888039588928,0.9857224225997925,0.9866156578063965,0.9855687618255615,0.9866976141929626,324.0,312.0,904.0,892.0,0.7409539222717285,0.8157209157943726,0.7373584508895874,1.1974518299102783,0.4771011769771576,0.7358726859092712,0.7408638000488281,0.7335526347160339,0.7434210777282715
4,58.0,58.0,4654.0,4654.0,0.9876909852027893,0.9991831183433533,0.9877446889877319,0.03318227827548981,0.0009999999,0.9755414128303528,0.9878050088882446,0.9876909852027893,0.9876909852027893,0.9877533912658691,302.0,297.0,919.0,914.0,0.7524670958518982,0.8342795372009277,0.7532642483711243,1.0608187913894653,0.5074486136436462,0.7525455355644226,0.7547481656074524,0.7516447305679321,0.7557565569877625
5,33.0,37.0,4675.0,4679.0,0.9927843809127808,0.9997401833534241,0.9926260709762573,0.021056190133094788,0.0009999999,0.985238790512085,0.9930182695388794,0.9921543598175049,0.9929966330528259,0.9921875,295.0,289.0,927.0,921.0,0.7590460777282715,0.8365288972854614,0.7592473030090332,1.0546071529388428,0.519809901714325,0.7586814165115356,0.7611570358276367,0.7574012875556946,0.7623355388641357
