epoch,FN,FP,TN,TP,accuracy,auc,f1_score,loss,lr,mcc,npv,precision,recall,specificity,val_FN,val_FP,val_TN,val_TP,val_accuracy,val_auc,val_f1_score,val_loss,val_mcc,val_npv,val_precision,val_recall,val_specificity
0,391.0,400.0,4336.0,4345.0,0.9214527010917664,0.9743210673332214,0.9163169860839844,0.20755305886268616,0.01,0.833134651184082,0.9178920388221741,0.9157007336616516,0.9174408912658691,0.9155405163764954,456.0,447.0,769.0,760.0,0.6274670958518982,0.7091349363327026,0.6276276111602783,2.173274517059326,0.257446825504303,0.6271580457687378,0.6296603083610535,0.625,0.6324012875556946
1,157.0,166.0,4530.0,4539.0,0.9665672779083252,0.9939321875572205,0.9648529291152954,0.09447018057107925,0.01,0.929804801940918,0.9658873081207275,0.9647184014320374,0.9665672779083252,0.9638935923576355,92.0,93.0,1123.0,1124.0,0.9243420958518982,0.9759389758110046,0.9239398837089539,0.2405521273612976,0.847878634929657,0.9243397116661072,0.9235825538635254,0.9243420958518982,0.9235197305679321
2,101.0,104.0,4592.0,4595.0,0.9787052869796753,0.9966489672660828,0.976948082447052,0.06538581848144531,0.01,0.9539502263069153,0.9773195385932922,0.977867603302002,0.9784923195838928,0.976632833480835,64.0,62.0,1154.0,1152.0,0.9490131735801697,0.9847202897071838,0.9481647610664368,0.1966542750597,0.8963935971260071,0.9474316835403442,0.9489291310310364,0.9473684430122375,0.9490131735801697
3,59.0,62.0,4634.0,4637.0,0.9872231483459473,0.9988783001899719,0.9872374534606934,0.03899688273668289,0.01,0.974480926990509,0.9875475168228149,0.9868056774139404,0.9874361157417297,0.9869087934494019,27.0,27.0,1189.0,1189.0,0.9786184430122375,0.9939307570457458,0.9777960777282715,0.07677672803401947,0.9555920958518982,0.9777960777282715,0.9777960777282715,0.9777960777282715,0.9777960777282715
4,29.0,37.0,4659.0,4667.0,0.9936115741729736,0.9997286796569824,0.9930644631385803,0.021428868174552917,0.01,0.9861013889312744,0.9938488602638245,0.9921343326568604,0.9938245415687561,0.9921875,29.0,32.0,1184.0,1187.0,0.9761512875556946,0.9921821355819702,0.9749652743339539,0.09593801200389862,0.94986492395401,0.9760852456092834,0.9737489819526672,0.9761512875556946,0.9736841917037964
5,41.0,39.0,4657.0,4655.0,0.9912691712379456,0.9996732473373413,0.9915491342544556,0.02409745194017887,0.01,0.9831178188323975,0.9913625121116638,0.991691529750824,0.9912691712379456,0.9917652010917664,128.0,130.0,1086.0,1088.0,0.8939144611358643,0.9613039493560791,0.8940103650093079,0.31960415840148926,0.7879045009613037,0.8946056365966797,0.8932676315307617,0.8947368264198303,0.8930920958518982
6,35.0,32.0,4664.0,4661.0,0.9931856989860535,0.9996064901351929,0.9929239153862,0.02018013410270214,0.01,0.985870897769928,0.992632269859314,0.9931813478469849,0.9925468564033508,0.9932432174682617,30.0,29.0,1187.0,1186.0,0.9753289222717285,0.9918240308761597,0.9757174253463745,0.10213123261928558,0.9514859914779663,0.9753795266151428,0.9761316776275635,0.9753289222717285,0.9761512875556946
7,12.0,11.0,4685.0,4684.0,0.9978705048561096,0.9997463822364807,0.9975676536560059,0.00875087920576334,0.0009999999,0.9951483011245728,0.9974792003631592,0.997657060623169,0.9974446296691895,0.9976773858070374,28.0,30.0,1186.0,1188.0,0.9761512875556946,0.9923089146614075,0.9761892557144165,0.09266018867492676,0.9523259401321411,0.9769206643104553,0.9753694534301758,0.9769737124443054,0.9753289222717285
8,5.0,7.0,4689.0,4691.0,0.9987223148345947,0.9998584985733032,0.9983827471733093,0.006652776151895523,0.0009999999,0.9967689514160156,0.9985955953598022,0.9985100030899048,0.9989352822303772,0.9981700778007507,29.0,30.0,1186.0,1187.0,0.9761512875556946,0.9918333888053894,0.975749671459198,0.0957711711525917,0.9514864087104797,0.9761382937431335,0.9753492474555969,0.9761512875556946,0.9753289222717285
