epoch,FN,FP,TN,TP,accuracy,auc,f1_score,loss,lr,mcc,npv,precision,recall,specificity,val_FN,val_FP,val_TN,val_TP,val_accuracy,val_auc,val_f1_score,val_loss,val_mcc,val_npv,val_precision,val_recall,val_specificity
0,233.0,226.0,4526.0,4519.0,0.9549663066864014,0.9890483021736145,0.9512989521026611,0.12907032668590546,0.01,0.9038870930671692,0.9521374702453613,0.9523709416389465,0.9509680271148682,0.9524410963058472,26.0,22.0,1210.0,1206.0,0.9797077775001526,0.9972853064537048,0.9804671406745911,0.05467730760574341,0.9611342549324036,0.9790871143341064,0.9820846915245056,0.9788960814476013,0.9821428656578064
1,79.0,86.0,4664.0,4671.0,0.9818947315216064,0.9971780776977539,0.9826650023460388,0.057342831045389175,0.01,0.9654413461685181,0.9834851622581482,0.981921374797821,0.9833683967590332,0.9819023609161377,26.0,25.0,1207.0,1206.0,0.9797077775001526,0.9957494735717773,0.9792881011962891,0.0683102086186409,0.9586754441261292,0.9789916276931763,0.9796913266181946,0.9788960814476013,0.9797077775001526
2,43.0,44.0,4706.0,4707.0,0.9911578893661499,0.998828113079071,0.990818440914154,0.029854334890842438,0.01,0.9816750884056091,0.9909582734107971,0.9907388091087341,0.9909473657608032,0.9907107353210449,13.0,14.0,1218.0,1219.0,0.989448070526123,0.9967842698097229,0.9890545010566711,0.04339856654405594,0.978108286857605,0.989448070526123,0.9886455535888672,0.989448070526123,0.9886363744735718
3,40.0,38.0,4712.0,4710.0,0.9919999837875366,0.9984162449836731,0.9917919039726257,0.031031012535095215,0.01,0.983634352684021,0.9916303753852844,0.9919966459274292,0.9915789365768433,0.9920033812522888,16.0,16.0,1216.0,1216.0,0.9870129823684692,0.9981189966201782,0.9870129823684692,0.04015466943383217,0.9740259647369385,0.9870129823684692,0.9870129823684692,0.9870129823684692,0.9870129823684692
4,25.0,27.0,4723.0,4725.0,0.9949473738670349,0.9995757341384888,0.9945271015167236,0.018010850995779037,0.01,0.9891175627708435,0.9947981238365173,0.9943181872367859,0.9947368502616882,0.9943181872367859,18.0,17.0,1215.0,1214.0,0.9853895902633667,0.996357262134552,0.9857816100120544,0.05685698986053467,0.9716625213623047,0.9854851365089417,0.9861900806427002,0.9853895902633667,0.986201286315918
5,21.0,20.0,4730.0,4729.0,0.9959999918937683,0.9998703598976135,0.9956822395324707,0.013316445052623749,0.01,0.9914028644561768,0.9956179857254028,0.99578857421875,0.995578944683075,0.9957912564277649,16.0,16.0,1216.0,1216.0,0.9870129823684692,0.9941748380661011,0.9870129823684692,0.056122396141290665,0.9740259647369385,0.9870129823684692,0.9870129823684692,0.9870129823684692,0.9870129823684692
6,11.0,9.0,4741.0,4739.0,0.9981052875518799,0.9999749064445496,0.9978752732276917,0.006337733007967472,0.0009999999,0.9958019256591797,0.9977347254753113,0.998104453086853,0.9976841807365417,0.998106062412262,14.0,14.0,1218.0,1218.0,0.9886363744735718,0.9963040351867676,0.9886363744735718,0.046147387474775314,0.9772727489471436,0.9886363744735718,0.9886363744735718,0.9886363744735718,0.9886363744735718
7,6.0,5.0,4745.0,4744.0,0.9989473819732666,0.9999956488609314,0.9988391995429993,0.0036074197851121426,0.0009999999,0.9976913332939148,0.9987497329711914,0.9989471435546875,0.9987368583679199,0.99894779920578,13.0,14.0,1218.0,1219.0,0.989448070526123,0.9962801933288574,0.9890545010566711,0.04675884544849396,0.9781081676483154,0.989448070526123,0.9886455535888672,0.989448070526123,0.9886363744735718
