epoch,FN,FP,TN,TP,accuracy,auc,f1_score,loss,lr,mcc,npv,precision,recall,specificity,val_FN,val_FP,val_TN,val_TP,val_accuracy,val_auc,val_f1_score,val_loss,val_mcc,val_npv,val_precision,val_recall,val_specificity
0,231.0,225.0,4591.0,4585.0,0.9528654217720032,0.9883651733398438,0.9524547457695007,0.1325397491455078,0.01,0.9058682918548584,0.9528816938400269,0.9532224535942078,0.9520348906517029,0.9532807469367981,22.0,22.0,1146.0,1146.0,0.9811643958091736,0.9985415935516357,0.9811359643936157,0.05026806890964508,0.962375819683075,0.981265127658844,0.9811643958091736,0.9811643958091736,0.9811643958091736
1,86.0,85.0,4719.0,4718.0,0.9823064208030701,0.9973620176315308,0.9822326898574829,0.05808368697762489,0.01,0.96463942527771,0.9823063015937805,0.982302725315094,0.9820982217788696,0.9823504686355591,13.0,15.0,1153.0,1155.0,0.9880136847496033,0.9979310631752014,0.9880396127700806,0.043016549199819565,0.9760777950286865,0.988869845867157,0.9871794581413269,0.988869845867157,0.9871575236320496
2,45.0,44.0,4760.0,4759.0,0.990424633026123,0.999100923538208,0.9907737374305725,0.030221179127693176,0.01,0.9816204905509949,0.990726113319397,0.9908390641212463,0.9906328320503235,0.9908638000488281,29.0,29.0,1139.0,1139.0,0.9751712083816528,0.9965310096740723,0.9751712083816528,0.07563252002000809,0.9503424763679504,0.9751712083816528,0.9751712083816528,0.9751712083816528,0.9751712083816528
3,39.0,40.0,4764.0,4765.0,0.991881787776947,0.9995018839836121,0.9918009042739868,0.026712285354733467,0.01,0.9836267828941345,0.9919263124465942,0.9916753172874451,0.991881787776947,0.9916943311691284,16.0,16.0,1152.0,1152.0,0.9863013625144958,0.9978252053260803,0.9863013625144958,0.04727571830153465,0.9726027250289917,0.9863013625144958,0.9863013625144958,0.9863013625144958,0.9863013625144958
4,39.0,38.0,4766.0,4765.0,0.991881787776947,0.9991567134857178,0.9920132160186768,0.024456655606627464,0.01,0.9840997457504272,0.9919703006744385,0.992088258266449,0.991881787776947,0.9921096563339233,22.0,23.0,1145.0,1146.0,0.9803082346916199,0.9957774877548218,0.980749249458313,0.07129189372062683,0.9614977836608887,0.9811643958091736,0.9803250432014465,0.9811643958091736,0.9803082346916199
5,22.0,23.0,4781.0,4782.0,0.9952123165130615,0.9994248151779175,0.9953374862670898,0.018465515226125717,0.0009999999,0.9906614422798157,0.995418131351471,0.9952133297920227,0.9954204559326172,0.9952242374420166,16.0,15.0,1153.0,1152.0,0.9871575236320496,0.9992450475692749,0.9866880774497986,0.03705141320824623,0.9734806418418884,0.9864020943641663,0.9871465563774109,0.9863013625144958,0.9871575236320496
6,2.0,3.0,4801.0,4802.0,0.9995836615562439,0.9999815225601196,0.9994840621948242,0.006065064575523138,0.0009999999,0.9989678859710693,0.9995847344398499,0.9993756413459778,0.9995836615562439,0.9993770718574524,14.0,14.0,1154.0,1154.0,0.9880136847496033,0.9986200332641602,0.9880136847496033,0.033750731498003006,0.9760273694992065,0.9880136847496033,0.9880136847496033,0.9880136847496033,0.9880136847496033
