epoch,FN,FP,TN,TP,accuracy,auc,f1_score,loss,lr,mcc,npv,precision,recall,specificity,val_FN,val_FP,val_TN,val_TP,val_accuracy,val_auc,val_f1_score,val_loss,val_mcc,val_npv,val_precision,val_recall,val_specificity
0,404.0,379.0,4357.0,4332.0,0.9214527010917664,0.969592809677124,0.9167706370353699,0.22468571364879608,0.01,0.8348537087440491,0.9159429669380188,0.9195500016212463,0.9146959185600281,0.919974684715271,320.0,333.0,883.0,896.0,0.7302631735801697,0.8315271139144897,0.7326894998550415,1.0621894598007202,0.46311789751052856,0.7345229387283325,0.7290480136871338,0.7368420958518982,0.7261512875556946
1,176.0,176.0,4502.0,4502.0,0.9645147323608398,0.9916051030158997,0.9628133177757263,0.10738739371299744,0.01,0.9257422685623169,0.9629507064819336,0.9623770713806152,0.9623770713806152,0.962837815284729,152.0,152.0,1064.0,1064.0,0.8774670958518982,0.9265102744102478,0.8749948740005493,0.600289523601532,0.7500700950622559,0.8750710487365723,0.875,0.875,0.875
2,154.0,149.0,4529.0,4524.0,0.9690038561820984,0.9939934611320496,0.9659525156021118,0.08983761072158813,0.01,0.9320113658905029,0.9655444025993347,0.9681146740913391,0.9670799374580383,0.9664976596832275,65.0,65.0,1151.0,1151.0,0.9465460777282715,0.9887049198150635,0.9465898275375366,0.14774496853351593,0.8931131958961487,0.9464771747589111,0.9465460777282715,0.9465460777282715,0.9465460777282715
3,112.0,109.0,4569.0,4566.0,0.9769132137298584,0.9963620901107788,0.9766451120376587,0.07006374001502991,0.01,0.9533681273460388,0.976427435874939,0.9766845107078552,0.9760581254959106,0.9769847989082336,53.0,55.0,1161.0,1163.0,0.9555920958518982,0.9889419674873352,0.9556676149368286,0.13391606509685516,0.9112296104431152,0.9563063383102417,0.9548439979553223,0.9564144611358643,0.9547697305679321
4,129.0,134.0,4544.0,4549.0,0.9732791781425476,0.9959275722503662,0.9702108502388,0.07426905632019043,0.01,0.9404425621032715,0.9707399606704712,0.9713858366012573,0.9724240899085999,0.9696649312973022,53.0,52.0,1164.0,1163.0,0.9572368264198303,0.9839644432067871,0.9568158984184265,0.16724154353141785,0.9136574268341064,0.9564397931098938,0.9572016596794128,0.9564144611358643,0.9572368264198303
5,131.0,129.0,4549.0,4547.0,0.9724240899085999,0.9955217838287354,0.9684427380561829,0.07948616147041321,0.01,0.9369988441467285,0.9683693647384644,0.9724123477935791,0.9719966053962708,0.9686796069145203,55.0,55.0,1161.0,1161.0,0.9547697305679321,0.9888566732406616,0.9547499418258667,0.1490253210067749,0.9095507264137268,0.9548195004463196,0.9547697305679321,0.9547697305679321,0.9547697305679321
6,79.0,78.0,4600.0,4599.0,0.9835399985313416,0.9979908466339111,0.9834121465682983,0.05016298219561577,0.01,0.9668827652931213,0.9833772778511047,0.9833226203918457,0.9831124544143677,0.9835304021835327,53.0,58.0,1158.0,1163.0,0.9572368264198303,0.9861811399459839,0.9544374346733093,0.14092779159545898,0.908769428730011,0.9563071727752686,0.9524979591369629,0.9564144611358643,0.9523026347160339
7,49.0,52.0,4626.0,4629.0,0.989739179611206,0.9989447593688965,0.9893378019332886,0.03252393752336502,0.01,0.9786851406097412,0.9896634221076965,0.9888912439346313,0.9895254373550415,0.9890202879905701,46.0,49.0,1167.0,1170.0,0.9605262875556946,0.9885467290878296,0.9610171318054199,0.14010201394557953,0.9218917489051819,0.9620274901390076,0.9598031044006348,0.9621710777282715,0.9597039222717285
8,31.0,26.0,4652.0,4647.0,0.9942283034324646,0.9989900588989258,0.9939764738082886,0.023534653708338737,0.01,0.9879726767539978,0.9934738874435425,0.9944361448287964,0.9933732151985168,0.9945101141929626,50.0,52.0,1164.0,1166.0,0.9580591917037964,0.9876523017883301,0.9580718874931335,0.1421554535627365,0.9161308407783508,0.9588685035705566,0.9573070406913757,0.9588815569877625,0.9572368264198303
9,117.0,112.0,4566.0,4561.0,0.97627192735672,0.995212733745575,0.9737745523452759,0.07720924913883209,0.01,0.9475975036621094,0.9733019471168518,0.976032555103302,0.9749892950057983,0.9743101596832275,53.0,56.0,1160.0,1163.0,0.9547697305679321,0.9876695871353149,0.9552286863327026,0.1422145664691925,0.9103795886039734,0.9563362002372742,0.9540607333183289,0.9564144611358643,0.9539473652839661
10,55.0,55.0,4623.0,4623.0,0.9880290627479553,0.9987367987632751,0.9883931875228882,0.036343347281217575,0.01,0.9767959117889404,0.9883956909179688,0.9882428646087646,0.9882428646087646,0.9883868098258972,50.0,50.0,1166.0,1166.0,0.9580591917037964,0.9870033264160156,0.9588425159454346,0.15118488669395447,0.9177742004394531,0.9589697122573853,0.9588815569877625,0.9588815569877625,0.9588815569877625
11,72.0,76.0,4602.0,4606.0,0.98418128490448,0.9982296824455261,0.984381377696991,0.048727113753557205,0.0009999999,0.9687686562538147,0.9848028421401978,0.9837676286697388,0.9846088290214539,0.9839527010917664,49.0,52.0,1164.0,1167.0,0.9588815569877625,0.9904507994651794,0.9585564136505127,0.13514810800552368,0.9169573783874512,0.9595473408699036,0.9573420882225037,0.9597039222717285,0.9572368264198303
