epoch,FN,FP,TN,TP,accuracy,auc,f1_score,loss,lr,mcc,npv,precision,recall,specificity,val_FN,val_FP,val_TN,val_TP,val_accuracy,val_auc,val_f1_score,val_loss,val_mcc,val_npv,val_precision,val_recall,val_specificity
0,330.0,317.0,4451.0,4438.0,0.9377097487449646,0.9796842932701111,0.9321562647819519,0.17995880544185638,0.01,0.8651272654533386,0.9314291477203369,0.9333333373069763,0.9307885766029358,0.9335150718688965,213.0,220.0,996.0,1003.0,0.8215460777282715,0.8721719980239868,0.8224390745162964,1.395501732826233,0.6440675258636475,0.8239938020706177,0.8201144933700562,0.8248355388641357,0.8190789222717285
1,135.0,148.0,4614.0,4627.0,0.9706006050109863,0.9943751692771912,0.9702224135398865,0.0873124822974205,0.01,0.9405114054679871,0.9716193675994873,0.9690052270889282,0.9716505408287048,0.9687080383300781,69.0,70.0,1146.0,1147.0,0.9424341917037964,0.9600641131401062,0.9429076313972473,0.5705808401107788,0.8857084512710571,0.9431469440460205,0.942481517791748,0.9432565569877625,0.9424341917037964
2,103.0,99.0,4663.0,4659.0,0.9792104363441467,0.9946805238723755,0.9787784814834595,0.07589051127433777,0.01,0.9577952027320862,0.9786214232444763,0.9791929125785828,0.9783704280853271,0.9792366027832031,36.0,34.0,1182.0,1180.0,0.9703947305679321,0.9799588322639465,0.971137523651123,0.38667890429496765,0.9424760937690735,0.9705882668495178,0.9719933867454529,0.9703947305679321,0.9720394611358643
3,96.0,99.0,4663.0,4666.0,0.9794204235076904,0.996137797832489,0.9793251752853394,0.06510923057794571,0.01,0.9587084650993347,0.9796658754348755,0.9792234897613525,0.9798403978347778,0.9789848327636719,36.0,36.0,1180.0,1180.0,0.9703947305679321,0.9803282618522644,0.9703947305679321,0.4829034209251404,0.9407894611358643,0.9703947305679321,0.9703947305679321,0.9703947305679321,0.9703947305679321
4,52.0,53.0,4709.0,4710.0,0.9884502291679382,0.9987640380859375,0.9888657927513123,0.03321901708841324,0.01,0.9777695536613464,0.9890050888061523,0.9888725876808167,0.9890801906585693,0.988758385181427,37.0,37.0,1179.0,1179.0,0.9695723652839661,0.9814643263816833,0.9695723652839661,0.32574889063835144,0.9391447305679321,0.9695723652839661,0.9695723652839661,0.9695723652839661,0.9695723652839661
5,45.0,43.0,4719.0,4717.0,0.9907602071762085,0.9985682368278503,0.990764856338501,0.033640507608652115,0.01,0.9815682172775269,0.9905991554260254,0.9909663796424866,0.99055016040802,0.9909815192222595,41.0,39.0,1177.0,1175.0,0.9671052694320679,0.9837020635604858,0.9669726490974426,0.2720000743865967,0.9342459440231323,0.9665731191635132,0.9678747653961182,0.9662829041481018,0.9679276347160339
6,35.0,38.0,4724.0,4727.0,0.9924401640892029,0.9993738532066345,0.9922345876693726,0.02428199164569378,0.0009999999,0.9844678640365601,0.9925318956375122,0.9920251965522766,0.9926501512527466,0.9919043183326721,40.0,39.0,1177.0,1176.0,0.9671052694320679,0.9838539361953735,0.9674766659736633,0.19855907559394836,0.9350537657737732,0.9672020077705383,0.9679012298583984,0.9671052694320679,0.9679276347160339
7,20.0,21.0,4741.0,4742.0,0.995590090751648,0.999640941619873,0.9957036972045898,0.014960907399654388,0.0009999999,0.9914071559906006,0.9958053827285767,0.9955909848213196,0.9958000779151917,0.9955956339836121,32.0,31.0,1185.0,1184.0,0.9736841917037964,0.9920312762260437,0.9740821719169617,0.11569685488939285,0.9482148885726929,0.973732590675354,0.9744855761528015,0.9736841917037964,0.9745065569877625
8,18.0,18.0,4744.0,4744.0,0.996220052242279,0.9993730783462524,0.9962242245674133,0.015783444046974182,0.0009999999,0.992460310459137,0.9962354898452759,0.996220052242279,0.996220052242279,0.9962248206138611,27.0,28.0,1188.0,1189.0,0.9777960777282715,0.9931127429008484,0.9773973226547241,0.08640462905168533,0.9547938108444214,0.9777960777282715,0.9769926071166992,0.9777960777282715,0.9769737124443054
9,18.0,18.0,4744.0,4744.0,0.9964300990104675,0.998451828956604,0.9962246417999268,0.024416182190179825,0.0009999999,0.9924619793891907,0.9962370991706848,0.996220052242279,0.996220052242279,0.9962248206138611,21.0,21.0,1195.0,1195.0,0.9835526347160339,0.9946705102920532,0.9827278256416321,0.06918593496084213,0.9655023813247681,0.9827722311019897,0.9827302694320679,0.9827302694320679,0.9827302694320679
