x F(x)
5 88.60747092962265
10 90.93092501163484
15 92.68775981664658
20 95.29327875375748
25 96.69499027729034
30 97.91107058525084
35 98.67714232206345
40 98.9322419166565
45 99.3042375445366
50 99.38533180952072
55 99.2723457813263
60 99.3853039741516
65 99.47920030355452
70 99.58001387119292
75 99.62012380361556
80 99.66752916574478
85 99.66476893424988
90 99.74566686153412
95 99.70721518993378
100 99.76022499799728
