x F(x)
5 154.6834937930107
10 179.29355870723722
15 164.15469815731046
20 190.4278367698193
25 189.94585460424423
30 196.3417450928688
35 190.6900835132599
40 191.39674783229827
45 174.07225865602493
50 180.89692538499835
55 167.08107132196426
60 163.1601413321495
65 165.53324509382247
70 164.868035197258
75 161.73326622247694
80 164.54261678218842
85 163.7732206726074
90 161.25176979780198
95 156.69829864501955
100 158.6415399122238
